"Address format","Adres biçimi"
"PayPal Website Payments Standard","PayPal Web Sitesi Ödemeleri Standart"
"No Payment Information Required","Yok Ödeme Bilgileri Gerekli"
"Purchase Order","Satın alma emri"
"PayPal Express Checkout","PayPal Ekspres Ödeme"
"Cash On Delivery","Kapıda ödeme"
"Check / Money order > Check/MO","Giriş> / Para siparişi kontrol / MO"
"Credit Card","Kredi kartı"
"Credit Card (saved)","Kredi Kartı (kayıtlı)"
"United Parcel Service - 2nd Day Air","United Parcel Service - 2. Gün Hava"
"United Parcel Service - 3 Day Select","United Parcel Service - 3 Gün Seç"
"United Parcel Service - Ground","United Parcel Service - Zemin"
"United Parcel Service - Next Day Air","United Parcel Service - Ertesi Gün Hava"
"United Parcel Service - Next Day Air Early AM","United Parcel Service - Sonraki Gün Hava Erken AM"
"United Parcel Service - Worldwide Expedited","United Parcel Service - Dünya Hızlandırılmış"
"United Parcel Service - Worldwide Express","United Parcel Service - Worldwide Express"
"United Parcel Service - Worldwide Express Saver","United Parcel Service - Worldwide Express Saver"
"United Parcel Service","Birleşik Parsel Servisi"
"from outside US","ABD dışından"
"eBay Shipping","eBay Kargo"
"Standard Shipping","Standart Nakliye"
"Standard delivery","standart teslimat"
"Federal Express","Federal Express"
"Royal Mail","Kraliyet Postası"
"M2E Pro Payment","M2E Pro Ödeme"
"Flat Rate - Fixed","Sabit Ücret - Sabit"
"Free Shipping - Free","Ücretsiz Kargo - Ücretsiz"
"Free Shipping","Ücretsiz kargo"
"Free Worldwide Delivery","Ücretsiz Dünya çapında Teslimat"
"Royal Mail","Kraliyet Postası"
"Next-Day Delivery","Sonraki Gün Teslimat"
"International","Uluslararası"
"Standard","Standart"
"Small","Küçük"
"Packets","paketler"
"from outside","dışarıdan"
"Bank Transfer Payment","Banka Havalesi Ödeme"
"Credit Card (Authorize.net)","Kredi Kartı (Authorize.net)"
"Bill Me Later","Faturayı daha sonra kes"
"PayPal Payments Pro","PayPal Ödemeleri Pro"
"PayPal Express Checkout Payflow Edition","PayPal Ekspres Ödeme Payflow Sürümü"
"PayPal Payments Pro Payflow Edition","PayPal Ödemeleri Pro Payflow Sürümü"
"Payflow Pro","Payflow Pro"
"PayPal Billing Agreement","PayPal Fatura Sözleşmesi"
"Payment by cards or by PayPal account","kartları veya PayPal hesabı ile ödeme"
"Credit Card Direct Post (Authorize.net)","Kredi Kartı Doğrudan Mesaj (Authorize.net)"
"PayPal Mobile Payments Library","PayPal Mobil Ödemeler Kütüphane"
"PayPal Mobile Express Checkout Library","PayPal Mobil Ekspres Ödeme Kütüphanesi"
"Credit Card / Visa, Mastercard, AMEX, JCB, Diners","Kredi Kartı / Visa, Mastercard, AMEX, JCB, Diners"
"CartaSi","CartaSi"
"Lastschrift (ELV)","Lastschrift (ÖTA)"
"Dankort","Dankort"
"Nordea Solo","Nordea Solo"
"eNETS","ENETS"
"Carte Bleue","carte Bleue"
"Giropay","Giropay"
"iDeal","ideal"
"Laser","Lazer"
"Maestro","orkestra şefi"
"EPS Online-Überweisung","EPS Online Überweisung"
"POLi","POLi"
"Postepay","Postepay"
"All Polish Banks","Tüm Polonyalı Bankalar"
"Sofortüberweisung","Sofortüberweisung"
"Moneybookers eWallet","Moneybookers eWallet"
"Onlineüberweisung (empfohlen)","Onlineüberweisung (empfohlen)"
"Ogone Direct Link","Ogone Direct Link"
"Psigate","Psigate"
"Credit Card (Sage Pay Direct)","Kredi Kartı (Sage Öde Doğrudan)"
"Worldpay","Worldpay"
"Braintree","braintree"
"First Data Global Gateway","First Data Global Gateway"
"Paybox Direct","Paybox Doğrudan"
"eWAY Direct","Eway Doğrudan"
"Credit Card (Cybersource)","Kredi Kartı (CyberSource)"
"Ogone","Ogone"
"Credit Card (Payone.de)","Kredi Kartı (Payone.de)"
"Credit Card (DIBS)","Kredi Kartı (DİBS)"
"Protx Standard","Protx Standart"
"Paybox System","Paybox Sistemi"
"eWAY Shared","Eway Paylaşılan"
"eWAY 3D-Secure","Eway 3D-Secure"
"ChronoPay Standard","Chronopay Standart"
"ChronoPay Gateway","Chronopay Ağ Geçidi"
"CyberMUT-P@iement","CyberMUT-P @ iement"
"iDEAL Basic","iDEAL Temel"
"iDEAL Advanced","iDEAL Gelişmiş"
"Flo2Cash Web Service","Flo2Cash Web hizmeti"
"Amazon Simple Pay","Amazon Basit Öde"
"Checkout by Amazon","Amazon tarafından Ödeme"
"United States Postal Service - First-Class Mail Large Envelope","Amerika Birleşik Devletleri Posta Servisi - Birinci Sınıf Posta Büyük Zarf"
"United States Postal Service - First-Class Mail Letter","Amerika Birleşik Devletleri Posta Servisi - Birinci Sınıf Posta Mektubu"
"United States Postal Service - First-Class Mail Parcel","Amerika Birleşik Devletleri Posta Servisi - Birinci Sınıf Posta Parsel"
"United States Postal Service - First-Class Mail Postcards","Amerika Birleşik Devletleri Posta Servisi - Birinci Sınıf Posta Kartpostallar"
"United States Postal Service - Priority Mail","Amerika Birleşik Devletleri Posta Servisi - Öncelik Posta"
"United States Postal Service - Priority Mail Express Hold For Pickup","Amerika Birleşik Devletleri Posta Servisi - Pickup için Öncelik Mail Express tut"
"United States Postal Service - Priority Mail Express","Amerika Birleşik Devletleri Posta Servisi - Öncelik Mail Express"
"United States Postal Service - Standard Post","Amerika Birleşik Devletleri Posta Servisi - Standart Mesaj"
"United States Postal Service - Media Mail","Amerika Birleşik Devletleri Posta Servisi - Medya Posta"
"United States Postal Service - Library Mail","Amerika Birleşik Devletleri Posta Servisi - Kütüphane Posta"
"United States Postal Service - Priority Mail Express Flat Rate Envelope","Amerika Birleşik Devletleri Posta Servisi - Öncelik Mail Express Flat Rate Zarf"
"United States Postal Service - First-Class Mail Large Postcards","Amerika Birleşik Devletleri Posta Servisi - Birinci Sınıf Posta Büyük Kartpostallar"
"United States Postal Service - Priority Mail Flat Rate Envelope","Amerika Birleşik Devletleri Posta Servisi - Öncelik Posta Daire Oranı Zarf"
"United States Postal Service - Priority Mail Medium Flat Rate Box","Amerika Birleşik Devletleri Posta Servisi - Öncelik Posta Orta Flat Rate Box"
"United States Postal Service - Priority Mail Large Flat Rate Box","Amerika Birleşik Devletleri Posta Servisi - Öncelik Posta Büyük Daire Oranı Kutusu"
"United States Postal Service - Priority Mail Express Sunday/Holiday Delivery","Amerika Birleşik Devletleri Posta Servisi - Öncelik Mail Express Pazar / Tatil Teslimat"
"United States Postal Service - Priority Mail Express Sunday/Holiday Delivery Flat Rate Envelope","Amerika Birleşik Devletleri Posta Servisi - Öncelik Mail Express Pazar / Tatil Teslim Daire Oranı Zarf"
"United States Postal Service - Priority Mail Express Flat Rate Envelope Hold For Pickup","Amerika Birleşik Devletleri Posta Servisi - Pickup için Öncelik Mail Express Flat Rate Zarf tutun"
"United States Postal Service - Priority Mail Small Flat Rate Box","Amerika Birleşik Devletleri Posta Servisi - Öncelik Posta Küçük Flat Rate Box"
"United States Postal Service - Priority Mail Padded Flat Rate Envelope","Amerika Birleşik Devletleri Posta Servisi - Öncelik Posta Yastıklı Daire Oranı Zarf"
"United States Postal Service - Priority Mail Express Legal Flat Rate Envelope","Amerika Birleşik Devletleri Posta Servisi - Öncelik Mail Express Yasal Daire Oranı Zarf"
"United States Postal Service - Priority Mail Express Legal Flat Rate Envelope Hold For Pickup","Amerika Birleşik Devletleri Posta Servisi - Pickup için Öncelik Mail Express Yasal Daire Oranı Zarf tutun"
"United States Postal Service - Priority Mail Express Sunday/Holiday Delivery Legal Flat Rate Envelope","Amerika Birleşik Devletleri Posta Servisi - Öncelik Mail Express Pazar / Tatil Teslimat Yasal Daire Oranı Zarf"
"United States Postal Service - Priority Mail Hold For Pickup","Amerika Birleşik Devletleri Posta Servisi - Pickup için Öncelik Posta Tut"
"United States Postal Service - Priority Mail Large Flat Rate Box Hold For Pickup","Amerika Birleşik Devletleri Posta Servisi - Pickup için öncelik Posta Büyük Daire Oranı Kutusu tutun"
"United States Postal Service - Priority Mail Medium Flat Rate Box Hold For Pickup","Amerika Birleşik Devletleri Posta Servisi - Pickup için Öncelik Posta Orta Flat Rate Box tutun"
"United States Postal Service - Priority Mail Small Flat Rate Box Hold For Pickup","Amerika Birleşik Devletleri Posta Servisi - Pickup için Öncelik Posta Küçük Flat Rate Box tutun"
"United States Postal Service - Priority Mail Flat Rate Envelope Hold For Pickup","Amerika Birleşik Devletleri Posta Servisi - Pickup için Öncelik Posta Daire Oranı Zarf tutun"
"United States Postal Service - Priority Mail Gift Card Flat Rate Envelope","Amerika Birleşik Devletleri Posta Servisi - Öncelik Posta Hediye Kart Daire Oranı Zarf"
"United States Postal Service - Priority Mail Gift Card Flat Rate Envelope Hold For Pickup","Amerika Birleşik Devletleri Posta Servisi - Pickup için Öncelik Posta Hediye Kart Daire Oranı Zarf tutun"
"United States Postal Service - Priority Mail Window Flat Rate Envelope","Amerika Birleşik Devletleri Posta Servisi - Öncelik Posta Pencere Daire Oranı Zarf"
"United States Postal Service - Priority Mail Window Flat Rate Envelope Hold For Pickup","Amerika Birleşik Devletleri Posta Servisi - Pickup için Öncelik Posta Pencere Daire Oranı Zarf tutun"
"United States Postal Service - Priority Mail Small Flat Rate Envelope","Amerika Birleşik Devletleri Posta Servisi - Öncelik Posta Küçük Daire Oranı Zarf"
"United States Postal Service - Priority Mail Small Flat Rate Envelope Hold For Pickup","Amerika Birleşik Devletleri Posta Servisi - Pickup için Öncelik Posta Küçük Daire Oranı Zarf tutun"
"United States Postal Service - Priority Mail Legal Flat Rate Envelope","Amerika Birleşik Devletleri Posta Servisi - Öncelik Posta Yasal Daire Oranı Zarf"
"United States Postal Service - Priority Mail Legal Flat Rate Envelope Hold For Pickup","Amerika Birleşik Devletleri Posta Servisi - Pickup için Öncelik Mail Yasal Daire Oranı Zarf tutun"
"United States Postal Service - Priority Mail Padded Flat Rate Envelope Hold For Pickup","Amerika Birleşik Devletleri Posta Servisi - Pickup için Öncelik Posta Yastıklı Daire Oranı Zarf tutun"
"United States Postal Service - Priority Mail Regional Rate Box A","Amerika Birleşik Devletleri Posta Servisi - Öncelik Posta Bölgesel Oranı Kutusu"
"United States Postal Service - Priority Mail Regional Rate Box A Hold For Pickup","Amerika Birleşik Devletleri Posta Servisi - Öncelik Posta Bölgesel Oranı Kutusu Pickup için tutun"
"United States Postal Service - Priority Mail Regional Rate Box B","Amerika Birleşik Devletleri Posta Servisi - Öncelik Posta Bölgesel Oranı Box B"
"United States Postal Service - Priority Mail Regional Rate Box B Hold For Pickup","Amerika Birleşik Devletleri Posta Servisi - Pickup için Öncelik Posta Bölgesel Oranı Box B Tut"
"United States Postal Service - First-Class Package Service Hold For Pickup","Amerika Birleşik Devletleri Posta Servisi - Pickup için Birinci Sınıf Paketi Service tutun"
"United States Postal Service - Priority Mail Express Flat Rate Boxes","Amerika Birleşik Devletleri Posta Servisi - Öncelik Mail Express Flat Rate Kutuları"
"United States Postal Service - Priority Mail Express Flat Rate Boxes Hold For Pickup","Amerika Birleşik Devletleri Posta Servisi - Öncelik Mail Express Flat Rate Kutuları Pickup için tutun"
"United States Postal Service - Priority Mail Express Sunday/Holiday Delivery Flat Rate Boxes","Amerika Birleşik Devletleri Posta Servisi - Öncelik Mail Express Pazar / Tatil Teslim Daire Oranı Kutuları"
"United States Postal Service - Priority Mail Regional Rate Box C","Amerika Birleşik Devletleri Posta Servisi - Öncelik Posta Bölgesel Oranı Kutusu C"
"United States Postal Service - Priority Mail Regional Rate Box C Hold For Pickup","Amerika Birleşik Devletleri Posta Servisi - Pickup için Öncelik Posta Bölgesel Oranı Kutusu C Tut"
"United States Postal Service - First-Class Package Service","Amerika Birleşik Devletleri Posta Servisi - Birinci Sınıf Paketi Service"
"United States Postal Service - Priority Mail Express Padded Flat Rate Envelope","Amerika Birleşik Devletleri Posta Servisi - Öncelik Mail Express Yastıklı Daire Oranı Zarf"
"United States Postal Service - Priority Mail Express Padded Flat Rate Envelope Hold For Pickup","Amerika Birleşik Devletleri Posta Servisi - Pickup için Öncelik Mail Express Yastıklı Daire Oranı Zarf tutun"
"United States Postal Service - Priority Mail Express Sunday/Holiday Delivery Padded Flat Rate Envelope","Amerika Birleşik Devletleri Posta Servisi - Öncelik Mail Express Pazar / Tatil Teslimat Destekli Daire Oranı Zarf"
"United States Postal Service - Priority Mail Express International","Amerika Birleşik Devletleri Posta Servisi - Öncelik Mail Express Uluslararası"
"United States Postal Service - Priority Mail International","Amerika Birleşik Devletleri Posta Servisi - Öncelik Posta Uluslararası"
"United States Postal Service - Global Express Guaranteed (GXG)","Garantili Global Express (GXG) - Amerika Birleşik Devletleri Posta Servisi"
"United States Postal Service - Global Express Guaranteed Document","Amerika Birleşik Devletleri Posta Servisi - Global Express Garantili Belge"
"United States Postal Service - Global Express Guaranteed Non-Document Rectangular","Amerika Birleşik Devletleri Posta Servisi - Global Express Olmayan Belge Dikdörtgen Garantili"
"United States Postal Service - Global Express Guaranteed Non-Document Non-Rectangular","Amerika Birleşik Devletleri Posta Servisi - Global Express Olmayan Belge Olmayan Dikdörtgen Garantili"
"United States Postal Service - Priority Mail International Flat Rate Envelope","Amerika Birleşik Devletleri Posta Servisi - Öncelik Posta Uluslararası Flat Rate Zarf"
"United States Postal Service - Priority Mail International Medium Flat Rate Box","Amerika Birleşik Devletleri Posta Servisi - Öncelik Posta Uluslararası Orta Flat Rate Box"
"United States Postal Service - Priority Mail Express International Flat Rate Envelope","Amerika Birleşik Devletleri Posta Servisi - Öncelik Mail Express Uluslararası Flat Rate Zarf"
"United States Postal Service - Priority Mail International Large Flat Rate Box","Amerika Birleşik Devletleri Posta Servisi - Öncelik Posta Uluslararası Büyük Daire Oranı Kutusu"
"United States Postal Service - USPS GXG Envelopes","Amerika Birleşik Devletleri Posta Servisi - USPS GXG Zarflar"
"United States Postal Service - First-Class Mail International Letter","Amerika Birleşik Devletleri Posta Servisi - Birinci Sınıf Posta Uluslararası Mektubu"
"United States Postal Service - First-Class Mail International Large Envelope","Amerika Birleşik Devletleri Posta Servisi - Birinci Sınıf Posta Uluslararası Büyük Zarf"
"United States Postal Service - First-Class Package International Service","Amerika Birleşik Devletleri Posta Servisi - Birinci Sınıf Paketi Uluslararası Servis"
"United States Postal Service - Priority Mail International Small Flat Rate Box","Amerika Birleşik Devletleri Posta Servisi - Öncelik Posta International Küçük Flat Rate Box"
"United States Postal Service - Priority Mail Express International Legal Flat Rate Envelope","Amerika Birleşik Devletleri Posta Servisi - Öncelik Mail Express Uluslararası Hukuk Daire Oranı Zarf"
"United States Postal Service - Priority Mail International Gift Card Flat Rate Envelope","Amerika Birleşik Devletleri Posta Servisi - Öncelik Posta Uluslararası Hediye Kart Daire Oranı Zarf"
"United States Postal Service - Priority Mail International Window Flat Rate Envelope","Amerika Birleşik Devletleri Posta Servisi - Öncelik Posta Uluslararası Pencere Daire Oranı Zarf"
"United States Postal Service - Priority Mail International Small Flat Rate Envelope","Amerika Birleşik Devletleri Posta Servisi - Öncelik Posta International Küçük Daire Oranı Zarf"
"United States Postal Service - First-Class Mail International Postcard","Amerika Birleşik Devletleri Posta Servisi - Birinci Sınıf Posta Uluslararası Kartpostal"
"United States Postal Service - Priority Mail International Legal Flat Rate Envelope","Amerika Birleşik Devletleri Posta Servisi - Öncelik Posta Uluslararası Hukuk Daire Oranı Zarf"
"United States Postal Service - Priority Mail International Padded Flat Rate Envelope","Amerika Birleşik Devletleri Posta Servisi - Öncelik Posta Uluslararası Yastıklı Daire Oranı Zarf"
"United States Postal Service - Priority Mail International DVD Flat Rate priced box","Amerika Birleşik Devletleri Posta Servisi - Öncelik Posta Uluslararası DVD Daire Oranı fiyatlı kutu"
"United States Postal Service - Priority Mail International Large Video Flat Rate priced box","Amerika Birleşik Devletleri Posta Servisi - Öncelik Posta Uluslararası Büyük Video Daire Oranı fiyatlı kutu"
"United States Postal Service - Priority Mail Express International Flat Rate Boxes","Amerika Birleşik Devletleri Posta Servisi - Öncelik Mail Express Uluslararası Flat Rate Kutuları"
"United States Postal Service - Priority Mail Express International Padded Flat Rate Envelope","Amerika Birleşik Devletleri Posta Servisi - Öncelik Mail Express Uluslararası Yastıklı Daire Oranı Zarf"
"United States Postal Service - Priority Mail 3-Day","Amerika Birleşik Devletleri Posta Servisi - Öncelik Posta 3 Gün"
"United States Postal Service - Priority Mail 2-Day","Amerika Birleşik Devletleri Posta Servisi - Öncelik Posta 2 Gün"
"United States Postal Service - Priority Mail 1-Day","Amerika Birleşik Devletleri Posta Servisi - Öncelik Posta 1 Gün"
"Free Shipping Lower 48 - Free Shipping","Alt Ücretsiz Kargo 48 - Ücretsiz Kargo"
"Free Shipping Lower 48 - Best Way","Ücretsiz Kargo Aşağı 48 - The Best Way"
"Amazon Shipping - Exp UK Dom","Amazon Kargo - Uzm UK Dom"
"Amazon Shipping - Std UK Dom","Amazon Kargo - Std UK Dom"
"eBay - Other 24 Hour Courier","eBay - Diğer 24 Saat Kurye"
"eBay Shipping - Collection in Person","eBay Denizcilik - Kişi Collection"
"eBay Shipping - Economy Int'l Postage","eBay Kargo - Ekonomi Uluslararası Posta"
"eBay Shipping - Other 24 Hour Courier","eBay Nakliye - Diğer 24 Saat Kurye"
"eBay Shipping - Other 48 Hour Courier","eBay Kargo - Diğer 48 Saat Kurye"
"eBay Shipping - Other Courier","eBay Nakliye - Diğer Kurye"
"eBay Shipping - Other Courier 3-5 days","eBay Nakliye - Diğer Kurye 3-5 gün"
"eBay Shipping - Other Courier 5 days","eBay Nakliye - Diğer Kurye 5 gün"
"eBay Shipping - Royal Mail 2nd Class, eBay - RM 2nd Class","eBay Kargo - Royal Mail 2 Sınıf, eBay - RM 2. Sınıf"
"eBay Shipping - Royal Mail 48","eBay Kargo - Royal Mail 48"
"eBay Shipping - Royal Mail Special Delivery (TM) 1:00 pm","eBay Kargo - Royal Mail Special Delivery (TM) 01:00"
"eBay Shipping - Royal Mail Tracked 24","eBay Kargo - Royal Mail 24 Paletli"
"eBay Shipping - Royal Mail Tracked 48","eBay Kargo - Royal Mail 48 Paletli"
"Royal Mail - Europe International Signed For","Royal Mail - Avrupa Uluslararası İçin İmza"
"Royal Mail - First Class","Royal Mail - Birinci Sınıf"
"Royal Mail - Second Class","Royal Mail - İkinci Sınıf"
"Royal Mail - Special Delivery 1pm","Royal Mail - Special Delivery 01:00"
"Shipping Option - Royal Mail 2nd class (2-3 working days)","Kargo Seçeneği - Royal Mail 2. sınıf (2-3 iş günü)"
"Shipping Option - Royal Mail 2nd class packets (2-3 working days)","Kargo Seçeneği - Royal Mail 2. sınıf paketleri (2-3 iş günü)"