"Address format","Định dạng địa chỉ"
"PayPal Website Payments Standard","PayPal website chuẩn thanh toán"
"No Payment Information Required","Yêu cầu Không có thông tin thanh toán"
"Purchase Order","mua hàng"
"PayPal Express Checkout","PayPal Express Checkout"
"Cash On Delivery","Thanh toán khi giao hàng"
"Check / Money order > Check/MO","Kiểm tra đơn hàng / tiền> Kiểm tra / MO"
"Credit Card","Thẻ tín dụng"
"Credit Card (saved)","Thẻ tín dụng (lưu)"
"United Parcel Service - 2nd Day Air","United Parcel Service - 2 Day Air"
"United Parcel Service - 3 Day Select","Parcel Service United - 3 ngày Chọn"
"United Parcel Service - Ground","United Parcel Service - Ground"
"United Parcel Service - Next Day Air","United Parcel Service - Next Day Air"
"United Parcel Service - Next Day Air Early AM","United Parcel Service - Next Day Air sớm AM"
"United Parcel Service - Worldwide Expedited","Parcel Service Kỳ - Worldwide Expedited"
"United Parcel Service - Worldwide Express","Parcel Service Kỳ - Worldwide Express"
"United Parcel Service - Worldwide Express Saver","Parcel Service Kỳ - Worldwide Express Saver"
"United Parcel Service","Parcel Service Kỳ"
"from outside US","từ bên ngoài nước Mỹ"
"eBay Shipping","eBay Vận Chuyển"
"Standard Shipping","Vận chuyển Tiêu chuẩn"
"Standard delivery","phân phối tiêu chuẩn"
"Federal Express","Federal Express"
"Royal Mail","Thư hoàng gia"
"M2E Pro Payment","M2E Pro Thanh toán"
"Flat Rate - Fixed","Flat Rate - Cố định"
"Free Shipping - Free","Vận chuyển miễn phí - miễn phí"
"Free Shipping","Miễn phí vận chuyển"
"Free Worldwide Delivery","Giao hàng miễn phí trên toàn thế giới"
"Royal Mail","Thư hoàng gia"
"Next-Day Delivery","Giao hàng tiếp theo ngày"
"International","quốc tế"
"Standard","Tiêu chuẩn"
"Small","Nhỏ"
"Packets","Các gói"
"from outside","từ bên ngoài"
"Bank Transfer Payment","Thanh toán Bank Transfer"
"Credit Card (Authorize.net)","Thẻ tín dụng (Authorize.net)"
"Bill Me Later","Tính hóa đơn cho tôi sau"
"PayPal Payments Pro","Thanh toán PayPal Pro"
"PayPal Express Checkout Payflow Edition","PayPal Express Checkout Payflow bản"
"PayPal Payments Pro Payflow Edition","Thanh toán PayPal Pro Payflow bản"
"Payflow Pro","Payflow Pro"
"PayPal Billing Agreement","Hiệp định thanh toán của PayPal"
"Payment by cards or by PayPal account","Thanh toán bằng thẻ hoặc tài khoản PayPal"
"Credit Card Direct Post (Authorize.net)","Thẻ tín dụng trực tiếp Post (Authorize.net)"
"PayPal Mobile Payments Library","PayPal Thanh toán Thư viện di động"
"PayPal Mobile Express Checkout Library","Thư viện toán nhanh PayPal Mobile"
"Credit Card / Visa, Mastercard, AMEX, JCB, Diners","Thẻ tín dụng / thẻ Visa, Mastercard, AMEX, JCB, Diners"
"CartaSi","CartaSi"
"Lastschrift (ELV)","Lastschrift (ELV)"
"Dankort","Dankort"
"Nordea Solo","Nordea Solo"
"eNETS","eNETS"
"Carte Bleue","carte Bleue"
"Giropay","giropay"
"iDeal","lý tưởng"
"Laser","Laser"
"Maestro","uy nghiêm"
"EPS Online-Überweisung","EPS Online-Überweisung"
"POLi","Poli"
"Postepay","Postepay"
"All Polish Banks","Tất cả các ngân hàng Ba Lan"
"Sofortüberweisung","Sofortüberweisung"
"Moneybookers eWallet","Moneybookers eWallet"
"Onlineüberweisung (empfohlen)","Onlineüberweisung (empfohlen)"
"Ogone Direct Link","Liên kết trực tiếp Ogone"
"Psigate","Psigate"
"Credit Card (Sage Pay Direct)","Thẻ tín dụng (Sage Pay trực tiếp)"
"Worldpay","Worldpay"
"Braintree","Braintree"
"First Data Global Gateway","First Data Global Gateway"
"Paybox Direct","nơi trả tiền trực tiếp"
"eWAY Direct","Eway trực tiếp"
"Credit Card (Cybersource)","Thẻ tín dụng (Cybersource)"
"Ogone","Ogone"
"Credit Card (Payone.de)","Thẻ tín dụng (Payone.de)"
"Credit Card (DIBS)","Thẻ tín dụng (Dibs)"
"Protx Standard","Protx chuẩn"
"Paybox System","Hệ thống nơi trả tiền"
"eWAY Shared","eway Shared"
"eWAY 3D-Secure","Eway 3D-Secure"
"ChronoPay Standard","ChronoPay chuẩn"
"ChronoPay Gateway","ChronoPay Cổng"
"CyberMUT-P@iement","CyberMUT-P @ iement"
"iDEAL Basic","iDEAL cơ bản"
"iDEAL Advanced","iDEAL nâng cao"
"Flo2Cash Web Service","Dịch vụ Web Flo2Cash"
"Amazon Simple Pay","Amazon Đơn giản Pay"
"Checkout by Amazon","Thanh toán bằng Amazon"
"United States Postal Service - First-Class Mail Large Envelope","Hoa Kỳ Bưu điện - First-Class Mail Phong bì lớn"
"United States Postal Service - First-Class Mail Letter","Bưu chính Hoa Kỳ - First-Class Mail Thư"
"United States Postal Service - First-Class Mail Parcel","Bưu chính Hoa Kỳ - First-Class Mail Parcel"
"United States Postal Service - First-Class Mail Postcards","Bưu chính Hoa Kỳ - First-Class Mail Postcards"
"United States Postal Service - Priority Mail","Bưu chính Hoa Kỳ - Priority Mail"
"United States Postal Service - Priority Mail Express Hold For Pickup","Bưu chính Hoa Kỳ - Priority Mail nhanh Giữ để Pickup"
"United States Postal Service - Priority Mail Express","Bưu chính Hoa Kỳ - Priority Mail nhanh"
"United States Postal Service - Standard Post","Bưu chính Hoa Kỳ - Standard bài viết"
"United States Postal Service - Media Mail","Bưu chính Hoa Kỳ - Media Thư"
"United States Postal Service - Library Mail","Bưu chính Hoa Kỳ - Thư viện Thư"
"United States Postal Service - Priority Mail Express Flat Rate Envelope","Bưu chính Hoa Kỳ - Priority Mail nhanh Flat Rate Envelope"
"United States Postal Service - First-Class Mail Large Postcards","Bưu chính Hoa Kỳ - Mail Postcards Large-Class đầu tiên"
"United States Postal Service - Priority Mail Flat Rate Envelope","Bưu chính Hoa Kỳ - Priority Mail Flat Rate Envelope"
"United States Postal Service - Priority Mail Medium Flat Rate Box","Bưu chính Hoa Kỳ - Priority Mail vừa Flat Rate Box"
"United States Postal Service - Priority Mail Large Flat Rate Box","Bưu chính Hoa Kỳ - Priority Mail lớn Flat Rate Box"
"United States Postal Service - Priority Mail Express Sunday/Holiday Delivery","Bưu chính Hoa Kỳ - Priority Mail nhanh Chủ Nhật / Tốt giao hàng"
"United States Postal Service - Priority Mail Express Sunday/Holiday Delivery Flat Rate Envelope","Bưu chính Hoa Kỳ - Priority Mail nhanh Chủ Nhật / Tốt giao hàng Flat Rate Envelope"
"United States Postal Service - Priority Mail Express Flat Rate Envelope Hold For Pickup","Bưu chính Hoa Kỳ - Priority Mail nhanh Flat Rate Envelope Giữ để Pickup"
"United States Postal Service - Priority Mail Small Flat Rate Box","Bưu chính Hoa Kỳ - Priority Mail nhỏ Flat Rate Box"
"United States Postal Service - Priority Mail Padded Flat Rate Envelope","Bưu chính Hoa Kỳ - Priority Mail độn Flat Rate Envelope"
"United States Postal Service - Priority Mail Express Legal Flat Rate Envelope","Bưu chính Hoa Kỳ - Priority Mail tốc Pháp Flat Rate Envelope"
"United States Postal Service - Priority Mail Express Legal Flat Rate Envelope Hold For Pickup","Bưu chính Hoa Kỳ - Priority Mail tốc Pháp Flat Rate Envelope Giữ để Pickup"
"United States Postal Service - Priority Mail Express Sunday/Holiday Delivery Legal Flat Rate Envelope","Bưu chính Hoa Kỳ - Priority Mail nhanh Chủ Nhật / Tốt giao hàng Pháp Flat Rate Envelope"
"United States Postal Service - Priority Mail Hold For Pickup","Hoa Kỳ Bưu điện - Priority Mail Hold Đối Pickup"
"United States Postal Service - Priority Mail Large Flat Rate Box Hold For Pickup","Bưu chính Hoa Kỳ - Priority Mail lớn Flat Rate Hộp Giữ để Pickup"
"United States Postal Service - Priority Mail Medium Flat Rate Box Hold For Pickup","Bưu chính Hoa Kỳ - Priority Mail vừa Flat Rate Hộp Giữ để Pickup"
"United States Postal Service - Priority Mail Small Flat Rate Box Hold For Pickup","Bưu chính Hoa Kỳ - Priority Mail nhỏ Flat Rate Hộp Giữ để Pickup"
"United States Postal Service - Priority Mail Flat Rate Envelope Hold For Pickup","Bưu chính Hoa Kỳ - Priority Mail Flat Rate Envelope Giữ để Pickup"
"United States Postal Service - Priority Mail Gift Card Flat Rate Envelope","Bưu chính Hoa Kỳ - Priority Mail Gift Card Flat Rate Envelope"
"United States Postal Service - Priority Mail Gift Card Flat Rate Envelope Hold For Pickup","Bưu chính Hoa Kỳ - Priority Mail Gift Card Flat Rate Envelope Giữ để Pickup"
"United States Postal Service - Priority Mail Window Flat Rate Envelope","Bưu chính Hoa Kỳ - Priority Mail Window Flat Rate Envelope"
"United States Postal Service - Priority Mail Window Flat Rate Envelope Hold For Pickup","Bưu chính Hoa Kỳ - Priority Mail Window Flat Rate Envelope Giữ để Pickup"
"United States Postal Service - Priority Mail Small Flat Rate Envelope","Bưu chính Hoa Kỳ - Priority Mail nhỏ Flat Rate Envelope"
"United States Postal Service - Priority Mail Small Flat Rate Envelope Hold For Pickup","Bưu chính Hoa Kỳ - Priority Mail nhỏ Flat Rate Envelope Giữ để Pickup"
"United States Postal Service - Priority Mail Legal Flat Rate Envelope","Bưu chính Hoa Kỳ - Priority Mail Pháp Flat Rate Envelope"
"United States Postal Service - Priority Mail Legal Flat Rate Envelope Hold For Pickup","Bưu chính Hoa Kỳ - Priority Mail Pháp Flat Rate Envelope Giữ để Pickup"
"United States Postal Service - Priority Mail Padded Flat Rate Envelope Hold For Pickup","Bưu chính Hoa Kỳ - Priority Mail độn Flat Rate Envelope Giữ để Pickup"
"United States Postal Service - Priority Mail Regional Rate Box A","Bưu chính Hoa Kỳ - Priority Mail Regional Rate Hộp A"
"United States Postal Service - Priority Mail Regional Rate Box A Hold For Pickup","Bưu chính Hoa Kỳ - Priority Mail Rate khu vực Box Một Giữ để Pickup"
"United States Postal Service - Priority Mail Regional Rate Box B","Bưu chính Hoa Kỳ - Priority Mail Regional Rate Hộp B"
"United States Postal Service - Priority Mail Regional Rate Box B Hold For Pickup","Bưu chính Hoa Kỳ - Priority Mail Regional Rate Hộp B Giữ Đối Pickup"
"United States Postal Service - First-Class Package Service Hold For Pickup","Bưu chính Hoa Kỳ - First-Class Dịch vụ trọn gói Giữ để Pickup"
"United States Postal Service - Priority Mail Express Flat Rate Boxes","Bưu chính Hoa Kỳ - Priority Mail nhanh Flat Rate Hộp"
"United States Postal Service - Priority Mail Express Flat Rate Boxes Hold For Pickup","Bưu chính Hoa Kỳ - Priority Mail nhanh Flat Rate Hộp Giữ để Pickup"
"United States Postal Service - Priority Mail Express Sunday/Holiday Delivery Flat Rate Boxes","Bưu chính Hoa Kỳ - Priority Mail nhanh Chủ Nhật / Tốt giao hàng Flat Rate Hộp"
"United States Postal Service - Priority Mail Regional Rate Box C","Bưu chính Hoa Kỳ - Priority Mail Regional Rate Hộp C"
"United States Postal Service - Priority Mail Regional Rate Box C Hold For Pickup","Bưu chính Hoa Kỳ - Priority Mail Regional Rate Hộp C Giữ Đối Pickup"
"United States Postal Service - First-Class Package Service","Bưu chính Hoa Kỳ - First-Class Dịch vụ trọn gói"
"United States Postal Service - Priority Mail Express Padded Flat Rate Envelope","Bưu chính Hoa Kỳ - Priority Mail tốc độn Flat Rate Envelope"
"United States Postal Service - Priority Mail Express Padded Flat Rate Envelope Hold For Pickup","Bưu chính Hoa Kỳ - Priority Mail tốc độn Flat Rate Envelope Giữ để Pickup"
"United States Postal Service - Priority Mail Express Sunday/Holiday Delivery Padded Flat Rate Envelope","Bưu chính Hoa Kỳ - Priority Mail nhanh Chủ Nhật / Tốt giao hàng độn Flat Rate Envelope"
"United States Postal Service - Priority Mail Express International","Bưu chính Hoa Kỳ - Priority Mail Express International"
"United States Postal Service - Priority Mail International","Bưu chính Hoa Kỳ - Priority Mail International"
"United States Postal Service - Global Express Guaranteed (GXG)","Bưu chính Hoa Kỳ - Global Express đảm bảo (GXG)"
"United States Postal Service - Global Express Guaranteed Document","Bưu chính Hoa Kỳ - Global Express Tài liệu được đảm bảo"
"United States Postal Service - Global Express Guaranteed Non-Document Rectangular","Bưu chính Hoa Kỳ - Global Express đảm bảo không Document Rectangular"
"United States Postal Service - Global Express Guaranteed Non-Document Non-Rectangular","Bưu chính Hoa Kỳ - Global Express đảm bảo không Tài liệu không Rectangular"
"United States Postal Service - Priority Mail International Flat Rate Envelope","Bưu chính Hoa Kỳ - Priority Mail International Flat Rate Envelope"
"United States Postal Service - Priority Mail International Medium Flat Rate Box","Bưu chính Hoa Kỳ - Priority Mail International vừa Flat Rate Box"
"United States Postal Service - Priority Mail Express International Flat Rate Envelope","Bưu chính Hoa Kỳ - Priority Mail Express International Flat Rate Envelope"
"United States Postal Service - Priority Mail International Large Flat Rate Box","Bưu chính Hoa Kỳ - Priority Mail International lớn Flat Rate Box"
"United States Postal Service - USPS GXG Envelopes","Bưu chính Hoa Kỳ - Phong bì USPS GXG"
"United States Postal Service - First-Class Mail International Letter","Bưu chính Hoa Kỳ - First-Class Mail International Thư"
"United States Postal Service - First-Class Mail International Large Envelope","Bưu chính Hoa Kỳ - First-Class Mail Quốc tế Phong bì lớn"
"United States Postal Service - First-Class Package International Service","Bưu chính Hoa Kỳ - First-Class gói dịch vụ quốc tế"
"United States Postal Service - Priority Mail International Small Flat Rate Box","Bưu chính Hoa Kỳ - Priority Mail International Small Flat Rate Box"
"United States Postal Service - Priority Mail Express International Legal Flat Rate Envelope","Bưu chính Hoa Kỳ - Priority Mail Express International Legal Flat Rate Envelope"
"United States Postal Service - Priority Mail International Gift Card Flat Rate Envelope","Bưu chính Hoa Kỳ - Priority Mail International Gift Card Flat Rate Envelope"
"United States Postal Service - Priority Mail International Window Flat Rate Envelope","Bưu chính Hoa Kỳ - Priority Mail International Window Flat Rate Envelope"
"United States Postal Service - Priority Mail International Small Flat Rate Envelope","Bưu chính Hoa Kỳ - Priority Mail International Small Flat Rate Envelope"
"United States Postal Service - First-Class Mail International Postcard","Bưu chính Hoa Kỳ - First-Class Mail International Bưu thiếp"
"United States Postal Service - Priority Mail International Legal Flat Rate Envelope","Bưu chính Hoa Kỳ - Priority Mail International Legal Flat Rate Envelope"
"United States Postal Service - Priority Mail International Padded Flat Rate Envelope","Bưu chính Hoa Kỳ - Priority Mail International độn Flat Rate Envelope"
"United States Postal Service - Priority Mail International DVD Flat Rate priced box","Bưu chính Hoa Kỳ - Priority Mail International DVD Flat Rate hộp giá"
"United States Postal Service - Priority Mail International Large Video Flat Rate priced box","Hoa Kỳ Bưu điện - Priority Mail International lớn hộp Hình Flat Rate giá"
"United States Postal Service - Priority Mail Express International Flat Rate Boxes","Bưu chính Hoa Kỳ - Priority Mail Express International Flat Rate Hộp"
"United States Postal Service - Priority Mail Express International Padded Flat Rate Envelope","Bưu chính Hoa Kỳ - Priority Mail Express International độn Flat Rate Envelope"
"United States Postal Service - Priority Mail 3-Day","Hoa Kỳ Bưu điện - Priority Mail trong 3 ngày"
"United States Postal Service - Priority Mail 2-Day","Hoa Kỳ Bưu điện - Priority Mail 2-Day"
"United States Postal Service - Priority Mail 1-Day","Hoa Kỳ Bưu điện - Priority Mail 1 ngày"
"Free Shipping Lower 48 - Free Shipping","Vận chuyển miễn phí dưới 48 - Vận Chuyển Miễn Phí"
"Free Shipping Lower 48 - Best Way","Vận chuyển miễn phí dưới 48 - đường tốt nhất"
"Amazon Shipping - Exp UK Dom","Amazon Vận Chuyển - Exp Anh Dom"
"Amazon Shipping - Std UK Dom","Amazon Vận Chuyển - Std Anh Dom"
"eBay - Other 24 Hour Courier","eBay - Khác Courier 24 giờ"
"eBay Shipping - Collection in Person","eBay Vận Chuyển - Bộ sưu tập trong Person"
"eBay Shipping - Economy Int'l Postage","eBay Vận Chuyển - Kinh tế Quốc tế bưu chính"
"eBay Shipping - Other 24 Hour Courier","eBay Vận Chuyển - Loại khác 24 Hour Courier"
"eBay Shipping - Other 48 Hour Courier","eBay Vận Chuyển - Loại khác 48 Hour Courier"
"eBay Shipping - Other Courier","eBay Vận chuyển - Chuyển phát nhanh khác"
"eBay Shipping - Other Courier 3-5 days","eBay Vận Chuyển - Khác Courier 3-5 ngày"
"eBay Shipping - Other Courier 5 days","eBay Vận Chuyển - Khác Courier 5 ngày"
"eBay Shipping - Royal Mail 2nd Class, eBay - RM 2nd Class","eBay Vận Chuyển - Royal Mail 2nd Class, eBay - RM 2nd Class"
"eBay Shipping - Royal Mail 48","eBay Vận Chuyển - Royal Mail 48"
"eBay Shipping - Royal Mail Special Delivery (TM) 1:00 pm","eBay Vận Chuyển - Royal Mail Special Delivery (TM) 01:00"
"eBay Shipping - Royal Mail Tracked 24","eBay Vận Chuyển - Royal Mail xích 24"
"eBay Shipping - Royal Mail Tracked 48","eBay Vận Chuyển - Royal Mail xích 48"
"Royal Mail - Europe International Signed For","Royal Mail - Châu Âu International Ký Đối"
"Royal Mail - First Class","Royal Mail - First Class"
"Royal Mail - Second Class","Royal Mail - hạng Nhì"
"Royal Mail - Special Delivery 1pm","Royal Mail - Special Delivery 01:00"
"Shipping Option - Royal Mail 2nd class (2-3 working days)","Vận chuyển Tùy chọn - Royal Mail lớp 2 (2-3 ngày làm việc)"
"Shipping Option - Royal Mail 2nd class packets (2-3 working days)","Vận chuyển Tùy chọn - Royal Mail gói lớp thứ 2 (2-3 ngày làm việc)"